iter	Passed	Remaining
0	0	480
1	0	398
2	1	375
3	1	361
4	2	353
5	2	346
6	2	341
7	3	336
8	3	338
9	4	334
10	4	332
11	4	329
12	5	328
13	5	327
14	6	326
15	6	325
16	6	325
17	7	325
18	7	324
19	8	323
20	8	323
21	8	322
22	9	321
23	9	320
24	10	319
25	10	318
26	10	317
27	11	317
28	11	317
29	11	316
30	12	315
31	12	315
32	13	314
33	13	314
34	14	329
35	15	329
36	15	328
37	15	327
38	16	325
39	16	325
40	17	324
41	17	323
42	17	322
43	18	321
44	18	320
45	18	319
46	19	318
47	19	317
48	20	316
49	20	315
50	20	315
51	21	314
52	21	313
53	22	312
54	22	312
55	22	311
56	23	311
57	23	310
58	23	309
59	24	309
60	24	308
61	25	308
62	25	307
63	25	306
64	26	305
65	26	305
66	27	304
67	27	304
68	27	303
69	28	302
70	28	302
71	29	303
72	29	302
73	29	302
74	30	301
75	30	300
76	31	300
77	31	299
78	31	298
79	32	298
80	32	297
81	32	296
82	33	296
83	33	295
84	34	294
85	34	294
86	34	293
87	35	293
88	35	292
89	35	292
90	36	291
91	36	290
92	37	290
93	37	289
94	37	289
95	38	288
96	38	288
97	39	287
98	39	287
99	39	286
100	40	286
101	40	285
102	40	285
103	41	284
104	41	284
105	42	283
106	42	283
107	42	282
108	43	282
109	43	281
110	43	281
111	44	280
112	44	280
113	45	279
114	45	279
115	45	278
116	46	278
117	46	278
118	47	277
119	47	277
120	48	277
121	48	278
122	49	278
123	49	278
124	49	278
125	50	277
126	50	276
127	51	276
128	51	276
129	51	275
130	52	275
131	52	274
132	53	274
133	53	273
134	54	274
135	54	273
136	54	273
137	55	273
138	55	273
139	56	272
140	56	272
141	56	271
142	57	271
143	57	270
144	57	270
145	58	269
146	58	269
147	59	269
148	59	268
149	60	268
150	60	268
151	60	267
152	61	267
153	61	266
154	61	266
155	62	265
156	62	265
157	63	264
158	63	264
159	63	263
160	64	263
161	64	263
162	65	262
163	65	262
164	65	261
165	66	261
166	66	260
167	66	260
168	67	259
169	67	259
170	68	258
171	69	261
172	69	260
173	70	260
174	70	259
175	70	259
176	71	259
177	71	258
178	72	258
179	72	257
180	72	257
181	73	256
182	73	256
183	73	256
184	74	255
185	74	255
186	75	254
187	75	254
188	75	253
189	76	253
190	76	252
191	77	252
192	77	251
193	77	251
194	78	251
195	78	250
196	78	250
197	79	249
198	79	249
199	80	248
200	80	248
201	80	248
202	81	247
203	81	247
204	82	246
205	82	246
206	82	245
207	83	245
208	83	244
209	84	244
210	84	244
211	84	243
212	85	243
213	85	242
214	85	242
215	86	241
216	86	241
217	87	240
218	87	240
219	87	239
220	88	239
221	88	238
222	88	238
223	89	239
224	90	239
225	90	238
226	91	238
227	91	237
228	91	237
229	92	236
230	92	236
231	93	236
232	93	236
233	94	236
234	94	235
235	95	235
236	95	235
237	95	234
238	96	234
239	96	233
240	96	233
241	97	232
242	97	232
243	98	232
244	98	231
245	98	231
246	99	230
247	99	230
248	100	229
249	100	229
250	100	229
251	101	228
252	101	228
253	102	227
254	102	227
255	102	227
256	103	226
257	103	226
258	104	225
259	104	226
260	105	225
261	105	225
262	106	225
263	106	224
264	106	224
265	107	224
266	107	223
267	108	223
268	108	222
269	108	222
270	109	221
271	109	221
272	110	220
273	110	220
274	110	220
275	111	219
276	111	219
277	112	218
278	112	218
279	112	217
280	113	217
281	113	217
282	113	216
283	114	216
284	114	215
285	115	215
286	115	214
287	115	214
288	116	213
289	116	213
290	116	213
291	117	212
292	117	212
293	118	211
294	118	211
295	118	210
296	119	210
297	119	210
298	120	209
299	120	209
300	120	208
301	121	208
302	121	207
303	121	207
304	122	207
305	122	206
306	123	206
307	123	205
308	123	205
309	124	204
310	125	205
311	125	204
312	125	204
313	126	203
314	126	203
315	126	202
316	127	202
317	127	202
318	128	201
319	128	201
320	128	200
321	129	200
322	129	199
323	130	199
324	130	199
325	130	198
326	131	198
327	131	197
328	131	197
329	132	196
330	132	196
331	133	196
332	133	195
333	133	195
334	134	194
335	134	194
336	135	194
337	135	193
338	135	193
339	136	192
340	136	192
341	137	191
342	137	191
343	137	191
344	138	190
345	138	190
346	139	189
347	139	189
348	139	189
349	140	188
350	140	188
351	140	187
352	141	187
353	141	186
354	142	186
355	142	186
356	142	185
357	143	185
358	143	184
359	143	184
360	144	183
361	144	183
362	145	183
363	145	182
364	145	182
365	146	181
366	146	181
367	147	181
368	147	180
369	147	180
370	148	179
371	148	179
372	149	179
373	149	178
374	150	178
375	150	178
376	150	177
377	151	177
378	151	177
379	152	176
380	152	176
381	153	176
382	153	175
383	154	175
384	154	175
385	155	174
386	155	174
387	155	174
388	156	173
389	156	173
390	157	173
391	157	172
392	158	172
393	158	171
394	159	171
395	159	171
396	160	170
397	160	170
398	160	170
399	161	169
400	161	169
401	162	169
402	163	169
403	163	168
404	163	168
405	164	168
406	164	167
407	165	167
408	165	166
409	166	166
410	166	166
411	167	165
412	167	165
413	167	165
414	168	164
415	168	164
416	169	164
417	169	163
418	170	163
419	170	162
420	171	162
421	171	162
422	172	161
423	172	161
424	172	161
425	173	160
426	173	160
427	174	160
428	174	159
429	175	159
430	175	159
431	176	158
432	176	158
433	177	157
434	177	157
435	177	157
436	178	157
437	179	156
438	179	156
439	180	156
440	180	155
441	181	155
442	181	154
443	182	154
444	182	154
445	182	153
446	183	153
447	183	152
448	183	152
449	184	152
450	184	151
451	185	151
452	185	150
453	185	150
454	186	149
455	186	149
456	187	149
457	187	148
458	187	148
459	188	147
460	188	147
461	189	146
462	189	146
463	189	146
464	190	145
465	190	145
466	190	144
467	191	144
468	191	143
469	192	143
470	192	143
471	192	142
472	193	142
473	193	141
474	193	141
475	194	140
476	194	140
477	195	139
478	195	139
479	195	139
480	196	138
481	196	138
482	197	137
483	197	137
484	198	137
485	198	136
486	198	136
487	199	135
488	199	135
489	199	135
490	200	134
491	200	134
492	201	133
493	201	133
494	202	133
495	202	132
496	202	132
497	203	131
498	203	131
499	204	131
500	204	130
501	204	130
502	205	129
503	205	129
504	205	128
505	206	128
506	206	128
507	207	127
508	207	127
509	207	126
510	208	126
511	208	125
512	209	125
513	209	125
514	209	124
515	210	124
516	210	123
517	210	123
518	211	123
519	212	123
520	213	122
521	213	122
522	213	121
523	214	121
524	215	121
525	215	121
526	216	120
527	216	120
528	217	119
529	217	119
530	217	118
531	218	118
532	218	118
533	219	117
534	219	117
535	219	116
536	220	116
537	220	116
538	221	115
539	221	115
540	221	114
541	222	114
542	222	114
543	223	113
544	223	113
545	223	112
546	224	112
547	224	111
548	225	111
549	225	111
550	225	110
551	226	110
552	226	109
553	226	109
554	227	108
555	227	108
556	228	108
557	228	107
558	228	107
559	229	106
560	229	106
561	230	106
562	230	105
563	230	105
564	231	104
565	231	104
566	231	103
567	232	103
568	232	103
569	233	102
570	233	102
571	233	101
572	234	101
573	234	100
574	235	100
575	235	100
576	235	99
577	236	99
578	236	98
579	237	98
580	237	98
581	237	97
582	238	97
583	238	96
584	238	96
585	239	96
586	239	95
587	240	95
588	240	94
589	240	94
590	241	93
591	241	93
592	241	93
593	242	92
594	242	92
595	243	91
596	243	91
597	243	90
598	244	90
599	244	90
600	245	89
601	245	89
602	245	88
603	246	88
604	246	88
605	246	87
606	247	87
607	247	86
608	248	86
609	248	85
610	248	85
611	249	85
612	249	84
613	249	84
614	250	83
615	250	83
616	251	83
617	251	82
618	251	82
619	252	81
620	252	81
621	253	80
622	253	80
623	254	80
624	254	79
625	254	79
626	255	78
627	255	78
628	256	78
629	256	77
630	256	77
631	257	76
632	257	76
633	257	76
634	258	75
635	258	75
636	259	74
637	259	74
638	259	74
639	260	73
640	260	73
641	261	72
642	261	72
643	261	71
644	262	71
645	262	71
646	262	70
647	263	70
648	263	69
649	264	69
650	264	69
651	264	68
652	265	68
653	265	67
654	265	67
655	266	67
656	266	66
657	267	66
658	267	65
659	267	65
660	268	64
661	268	64
662	269	64
663	269	63
664	269	63
665	270	62
666	270	62
667	271	62
668	271	61
669	271	61
670	272	60
671	272	60
672	273	60
673	273	59
674	273	59
675	274	58
676	274	58
677	275	58
678	275	57
679	275	57
680	276	56
681	276	56
682	277	56
683	277	55
684	278	55
685	278	54
686	279	54
687	279	54
688	280	53
689	280	53
690	280	52
691	281	52
692	281	52
693	282	51
694	282	51
695	282	50
696	283	50
697	283	49
698	284	49
699	284	49
700	284	48
701	285	48
702	285	47
703	285	47
704	286	47
705	286	46
706	286	46
707	287	45
708	287	45
709	288	45
710	288	44
711	288	44
712	289	43
713	289	43
714	290	42
715	290	42
716	290	42
717	291	41
718	291	41
719	291	40
720	292	40
721	292	40
722	293	39
723	293	39
724	294	38
725	294	38
726	294	38
727	295	37
728	295	37
729	296	36
730	296	36
731	296	36
732	297	35
733	297	35
734	298	34
735	298	34
736	298	34
737	299	33
738	299	33
739	300	32
740	300	32
741	300	32
742	301	31
743	301	31
744	301	30
745	302	30
746	302	29
747	303	29
748	303	29
749	303	28
750	304	28
751	304	27
752	305	27
753	305	27
754	305	26
755	306	26
756	306	25
757	307	25
758	307	25
759	307	24
760	308	24
761	308	23
762	308	23
763	309	23
764	309	22
765	310	22
766	310	21
767	310	21
768	311	21
769	311	20
770	312	20
771	312	19
772	312	19
773	313	19
774	313	18
775	314	18
776	314	17
777	314	17
778	315	17
779	315	16
780	316	16
781	316	15
782	316	15
783	317	14
784	317	14
785	318	14
786	318	13
787	318	13
788	319	12
789	319	12
790	320	12
791	320	11
792	320	11
793	321	10
794	321	10
795	322	10
796	322	9
797	322	9
798	323	8
799	323	8
800	323	8
801	324	7
802	324	7
803	325	6
804	325	6
805	325	6
806	326	5
807	326	5
808	327	4
809	327	4
810	327	4
811	328	3
812	328	3
813	329	2
814	329	2
815	329	2
816	330	1
817	330	1
818	330	0
819	331	0
820	331	0
